stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
10207,13th Ave & Eagle St,, 39.73548,-104.81556,,
10208,13th Ave & Eagle St,, 39.73560,-104.81632,,
10209,W 13th Ave & Elati St,, 39.73691,-104.99438,,
10210,13th Ave & Fraser St,, 39.73548,-104.81197,,
10211,13th Ave & Garfield St,, 39.73680,-104.94427,,
10212,13th Ave & Granby St,, 39.73569,-104.81114,,
10213,W 13th Ave & Knox Ct,, 39.73662,-105.03259,,
10215,W 13th Ave & Lowell Blvd,, 39.73662,-105.03491,,
10216,W 13th Ave & Lowell Blvd,, 39.73653,-105.03406,,
10217,W 13th Ave & Newton St,, 39.73655,-105.03666,,
10218,W 13th Ave & Newton St,, 39.73664,-105.03753,,
10219,W 13th Ave & Osceola St,, 39.73656,-105.03843,,
10224,W 14th Ave & Federal Blvd,, 39.73805,-105.02575,,
10228,W 14th Ave & Galapago St,, 39.73842,-104.99601,,
10230,W 14th Ave & Irving St,, 39.73904,-105.02815,,
10232,W 14th Ave & Java Ct,, 39.73843,-105.03075,,
10235,W 14th Ave & Newland St,, 39.73854,-105.06995,,
10236,W 14th Ave & Newland St,, 39.73844,-105.06906,,
10238,W 14th Ave & Pierce St,, 39.73844,-105.07153,,
10240,W 14th Ave & Santa Fe Dr,, 39.73844,-104.99805,,
10252,15th St & Canyon Blvd,, 40.01607,-105.27522,,
10254,15th St & Central St,, 39.75784,-105.01093,,
10261,16th Ave & Downing St,, 39.74170,-104.97385,,
10262,16th Ave & Emerson St,, 39.74171,-104.97674,,
10264,16th Ave & Logan St,, 39.74174,-104.98275,,
10265,16th Ave & Washington St,, 39.74171,-104.97847,,
10272,16th St & Boulder St,, 39.75948,-105.01064,,
10273,16th St & Boulder St,, 39.75853,-105.00965,,
10277,17th Ave & Broadway,, 39.74323,-104.98727,,
10280,17th Ave & Clarkson St,, 39.74319,-104.97720,,
10281,17th Ave & Cook St,, 39.74368,-104.94742,,
10283,17th Ave & Drake St,, 40.18852,-105.14534,,
10284,E 17th Ave & The Esplanade,, 39.74373,-104.95622,,
10285,17th Ave & Esplanade St,, 39.74388,-104.95645,,
10287,W 17th Ave & Federal Blvd,, 39.74401,-105.02621,,
10288,17th Ave & Fillmore St,, 39.74372,-104.95328,,
10289,17th Ave & Fillmore St,, 39.74391,-104.95435,,
10290,17th Ave & Franklin St,, 39.74317,-104.96819,,
10291,17th Ave & Garfield St,, 39.74368,-104.94368,,
10292,17th Ave & Garfield St,, 39.74384,-104.94403,,
10294,17th Ave & Gaylord St,, 39.74315,-104.96107,,
10295,W 17th Ave & Grove St,, 39.74388,-105.02652,,
10298,17th Ave & Harrison St,, 39.74383,-104.94176,,
10299,17th Ave & Harvard St,, 40.18849,-105.14024,,
10300,W 17th Ave & Irving St,, 39.74390,-105.02964,,
10301,W 17th Ave & Irving St,, 39.74398,-105.03024,,
10303,W 17th Ave & King St,, 39.74400,-105.03340,,
10304,W 17th Ave & King St,, 39.74390,-105.03279,,
10306,17th Ave & Lafayette St,, 39.74318,-104.97062,,
10307,17th Ave & Logan St,, 39.74320,-104.98209,,
10308,17th Ave & Madison St,, 39.74384,-104.94636,,
10311,W 17th Ave & Meade St,, 39.74390,-105.03547,,
10313,W 17th Ave & Meade St,, 39.74402,-105.03613,,
10314,E 17th Ave & Ogden St,, 39.74320,-104.97419,,
10315,17th Ave & Pearl St,, 39.74320,-104.97941,,
10316,W 17th Ave & Perry St,, 39.74400,-105.03965,,
10317,W 17th Ave & Perry St,, 39.74391,-105.03962,,
10320,17th Ave & Race St,, 39.74315,-104.96315,,
10321,W 17th Ave & Zenobia St,, 39.74389,-105.05245,,
10322,17th Ave & Grant St,, 39.74318,-104.98449,,
10323,17th Ave & Steele St,, 39.74373,-104.94917,,
10325,17th Ave & Steele St,, 39.74386,-104.95037,,
10326,W 17th Ave & Stuart St,, 39.74392,-105.04246,,
10327,W 17th Ave & Stuart St,, 39.74403,-105.04200,,
10328,W 17th Ave & Utica St,, 39.74393,-105.04484,,
10329,W 17th Ave & Utica St,, 39.74401,-105.04525,,
10330,17th Ave & Williams St,, 39.74320,-104.96500,,
10331,W 17th Ave & Wolff St,, 39.74392,-105.04837,,
10332,W 17th Ave & Wolff St,, 39.74403,-105.04897,,
10333,W 17th Ave & Yates St,, 39.74403,-105.05142,,
10334,W 17th Ave & Yates St,, 39.74384,-105.05066,,
10335,E 17th Ave & Josephine St,, 39.74330,-104.95941,,
10336,E 18th Ave & Downing St,, 39.74489,-104.97381,,
10338,18th Ave & Emerson St,, 39.74490,-104.97650,,
10339,18th Ave & Franklin St,, 39.74488,-104.96874,,
10340,18th Ave & Grant St,, 39.74493,-104.98365,,
10341,18th Ave & High St,, 39.74486,-104.96515,,
10342,18th Ave & Pennsylvania St,, 39.74491,-104.98164,,
