stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
4090,WOODBINE AV / MORTON AV,,44.237134,-79.449628,,
4091,WOODBINE AV STOP # 4091,,44.235336,-79.449149,,
4092,WOODBINE AV / RIVEREDGE DR,,44.231732,-79.44828,,
4093,WOODBINE AV / RIVERGLEN DR,,44.229103,-79.447635,,
4095,BISCAYNE BLVD / WINDOVER DR,,44.224859,-79.448673,,
4096,BISCAYNE BLVD OP ROSELM AV,,44.223598,-79.451335,,
4097,BISCAYNE BLVD / OAK MEADOW BLVD,,44.222811,-79.454323,,
4098,BISCAYNE BLVD OP BESSBOROUGH RD,,44.222945,-79.458977,,
4099,BISCAYNE BLVD / BESSBOROUGH RD,,44.222856,-79.459004,,
4100,BISCAYNE BLVD / HODGINS AV,,44.223673,-79.462201,,
4101,THE QUEENSWAY / LAKEVIEW BLVD,,44.209166,-79.466608,,
4102,THE QUEENSWAY / MORTON AV,,44.233431,-79.465402,,
4103,THE QUEENSWAY / HENRY ST,,44.236686,-79.463815,,
4104,THE QUEENSWAY OP SILAS  BLVD,,44.238466,-79.463593,,
4106,THE QUEENSWAY OP CEDAR ST,,44.241708,-79.468331,,
4107,SIMCOE AVE,THE QUEENSWAY,44.2422,-79.472852,,
4108,SIMCOE AV / METRO RD,,44.241277,-79.474504,,
4109,METRO RD / CHURCH ST,,44.243193,-79.477084,,
4110,METRO RD / NIDA DR,,44.246112,-79.480616,,
4111,METRO RD STOP # 4111,,44.250596,-79.485423,,
4112,METRO RD OP FIRST AV,,44.251601,-79.485798,,
4113,METRO RD / FERNCROFT DR,,44.253419,-79.485739,,
4114,FERNCROFT DR / HIGHCASTLE AV,,44.254396,-79.482031,,
4115,HIGHCASTLE AV / KERFOOT CRES,,44.252647,-79.481211,,
4116,HIGHCASTLE AV / OLD HOMESTEAD RD,,44.249466,-79.481006,,
4117,OLD HOMESTEAD RD / METRO RD,,44.248812,-79.483252,,
4118,METRO RD / CHURCH ST,,44.243077,-79.477137,,
4119,QUEENSWAY / CEDAR ST,THE QUEENSWAY & CEDAR ST,44.241541,-79.468249,,
4120,QUEENSWAY / PARKVIEW RD,,44.240889,-79.466373,,
4121,QUEENSWAY / SILAS BLVD,,44.238594,-79.463778,,
4122,QUEENSWAY / GARDEN AV,,44.23684,-79.463886,,
4124,THE QUEENSWAY / CAMERON CRES,,44.229099,-79.465352,,
4125,THE QUEENSWAY OP RIVERGLEN DR,,44.225828,-79.464461,,
