route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
4,S,40S1620,0,435,4.0.12,
4,S,40S1630,0,405,4.0.12,
4,S,40S1635,0,437,4.0.12,
4,S,40S1640,0,406,4.0.12,
4,S,40S1650,0,405,4.0.11,
4,U,40U1010,0,2034,4.0.12,
4,U,40U1020,0,435,4.0.11,
4,U,40U1030,0,401,4.0.11,
4,U,40U1040,0,404,4.0.11,
4,U,40U1050,0,402,4.0.11,
4,U,40U1060,0,438,4.0.11,
4,U,40U1070,0,437,4.0.11,
4,U,40U1080,0,436,4.0.11,
4,U,40U1090,0,434,4.0.11,
4,U,40U1100,0,403,4.0.11,
4,U,40U1110,0,439,4.0.11,
4,U,40U1120,0,435,4.0.11,
4,U,40U1130,0,441,4.0.11,
4,U,40U1140,0,405,4.0.11,
4,U,40U1150,0,401,4.0.11,
4,U,40U1160,0,406,4.0.11,
4,U,40U1170,0,407,4.0.11,
4,U,40U1180,0,442,4.0.11,
4,U,40U1190,0,404,4.0.11,
4,U,40U1200,0,440,4.0.11,
4,U,40U1210,0,402,4.0.11,
4,U,40U1220,0,438,4.0.11,
4,U,40U1230,0,437,4.0.11,
4,U,40U1240,0,436,4.0.11,
4,U,40U1250,0,434,4.0.11,
4,U,40U1260,0,403,4.0.11,
4,U,40U1270,0,439,4.0.11,
4,U,40U1280,0,435,4.0.11,
4,U,40U1290,0,441,4.0.11,
4,U,40U1300,0,405,4.0.11,
4,U,40U1310,0,401,4.0.11,
4,U,40U1320,0,406,4.0.11,
4,U,40U1330,0,407,4.0.11,
4,U,40U1340,0,442,4.0.11,
4,U,40U1350,0,901,4.0.11,
4,U,40U1360,0,440,4.0.11,
4,U,40U1370,0,402,4.0.11,
4,U,40U1380,0,438,4.0.11,
4,U,40U1390,0,437,4.0.11,
4,U,40U1400,0,436,4.0.11,
4,U,40U1410,0,434,4.0.11,
4,U,40U1420,0,403,4.0.11,
4,U,40U1430,0,439,4.0.11,
4,U,40U1440,0,435,4.0.11,
4,U,40U1450,0,441,4.0.11,
4,U,40U1460,0,405,4.0.11,
4,U,40U1470,0,401,4.0.11,
4,U,40U1480,0,406,4.0.11,
4,U,40U1490,0,407,4.0.11,
4,U,40U1500,0,442,4.0.11,
4,U,40U1510,0,901,4.0.11,
4,U,40U1520,0,435,4.0.11,
4,U,40U1530,0,402,4.0.11,
4,U,40U1540,0,405,4.0.11,
4,U,40U1550,0,437,4.0.11,
4,U,40U1560,0,406,4.0.11,
4,U,40U1570,0,434,4.0.11,
4,U,40U1580,0,442,4.0.11,
4,U,40U1590,0,439,4.0.12,
4,U,40U1610,0,441,4.0.12,
4,U,40U1620,0,401,4.0.12,
4,U,40U1630,0,407,4.0.12,
4,U,40U1640,0,901,4.0.12,
4,U,40U1650,0,402,4.0.12,
4,U,40U1660,0,407,4.0.11,
4,W,40W1010,0,403,4.0.10,
4,W,40W1020,0,934,4.0.12,
4,W,40W1030,0,434,4.0.11,
4,W,40W1040,0,435,4.0.11,
4,W,40W1050,0,405,4.0.11,
4,W,40W1060,0,1239,4.0.11,
4,W,40W1070,0,437,4.0.11,
4,W,40W1080,0,407,4.0.11,
4,W,40W1090,0,438,4.0.11,
4,W,40W1100,0,439,4.0.11,
4,W,40W1110,0,440,4.0.11,
4,W,40W1120,0,401,4.0.11,
4,W,40W1130,0,404,4.0.11,
4,W,40W1140,0,444,4.0.11,
4,W,40W1150,0,8434,4.0.11,
4,W,40W1160,0,403,4.0.11,
4,W,40W1170,0,1270,4.0.11,
4,W,40W1180,0,406,4.0.11,
4,W,40W1190,0,408,4.0.11,
4,W,40W1200,0,410,4.0.11,
4,W,40W1210,0,442,4.0.11,
4,W,40W1220,0,411,4.0.11,
4,W,40W1230,0,434,4.0.11,
4,W,40W1240,0,435,4.0.11,
4,W,40W1250,0,467,4.0.11,
4,W,40W1260,0,405,4.0.11,
4,W,40W1270,0,436,4.0.11,
4,W,40W1280,0,407,4.0.11,
4,W,40W1290,0,438,4.0.11,
4,W,40W1300,0,409,4.0.11,
4,W,40W1310,0,440,4.0.11,
4,W,40W1320,0,401,4.0.11,
4,W,40W1330,0,402,4.0.11,
4,W,40W1340,0,444,4.0.11,
4,W,40W1350,0,403,4.0.11,
4,W,40W1360,0,406,4.0.11,
4,W,40W1370,0,408,4.0.11,
4,W,40W1380,0,410,4.0.11,
4,W,40W1390,0,442,4.0.11,
4,W,40W1400,0,411,4.0.11,
4,W,40W1410,0,434,4.0.11,
4,W,40W1420,0,1241,4.0.11,
4,W,40W1430,0,435,4.0.11,
4,W,40W1440,0,467,4.0.11,
4,W,40W1450,0,441,4.0.11,
4,W,40W1460,0,405,4.0.11,
4,W,40W1470,0,437,4.0.11,
4,W,40W1480,0,436,4.0.11,
4,W,40W1490,0,407,4.0.11,
4,W,40W1500,0,438,4.0.11,
4,W,40W1510,0,443,4.0.11,
4,W,40W1520,0,409,4.0.11,
4,W,40W1530,0,440,4.0.11,
4,W,40W1540,0,401,4.0.11,
4,W,40W1550,0,402,4.0.11,
4,W,40W1560,0,404,4.0.11,
4,W,40W1570,0,444,4.0.11,
4,W,40W1580,0,403,4.0.11,
4,W,40W1590,0,406,4.0.11,
4,W,40W1600,0,408,4.0.11,
4,W,40W1610,0,468,4.0.11,
4,W,40W1620,0,414,4.0.11,
4,W,40W1630,0,413,4.0.11,
4,W,40W1640,0,445,4.0.11,
4,W,40W1650,0,412,4.0.11,
4,W,40W1660,0,467,4.0.11,
4,W,40W1670,0,405,4.0.11,
4,W,40W1680,0,1268,4.0.11,
4,W,40W1690,0,411,4.0.11,
4,W,40W1700,0,438,4.0.11,
4,W,40W1710,0,409,4.0.11,
4,W,40W1720,0,946,4.0.11,
4,W,40W1730,0,2035,4.0.11,
4,W,40W1740,0,404,4.0.11,
4,W,40W1750,0,444,4.0.12,
4,W,40W1760,0,408,4.0.12,
4,W,40W1770,0,414,4.0.12,
4,W,40W1780,0,412,4.0.12,
4,W,40W1790,0,405,4.0.12,
4,W,40W1800,0,1268,4.0.12,
4,W,40W1810,0,412,4.0.11,
4,X,40X1010,0,2001,4.0.12,
4,X,40X1020,0,404,4.0.11,
4,X,40X1030,0,401,4.0.11,
4,X,40X1040,0,407,4.0.11,
4,X,40X1050,0,402,4.0.11,
4,X,40X1060,0,411,4.0.11,
4,X,40X1070,0,408,4.0.11,
4,X,40X1080,0,405,4.0.11,
4,X,40X1090,0,403,4.0.11,
4,X,40X1100,0,406,4.0.11,
4,X,40X1110,0,414,4.0.11,
4,X,40X1120,0,404,4.0.11,
4,X,40X1130,0,410,4.0.11,
4,X,40X1140,0,409,4.0.11,
4,X,40X1150,0,401,4.0.11,
4,X,40X1160,0,412,4.0.11,
