stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
13094,ABRAMS @ VICTOR - N - NS,,32.804981,-96.755471,,
13095,ABRAMS @ GLASGOW - N - NS,,32.807415,-96.753861,,
13096,ABRAMS @ TREMONT - N - NS,,32.808643,-96.752877,,
13097,ABRAMS @ WORTH - N - NS,,32.809833,-96.752747,,
13098,ABRAMS @ LA VISTA - N - NS,,32.812564,-96.751587,,
13099,ABRAMS @ RICHMOND - N - NS,,32.815975,-96.752861,,
13100,ADAMS @ GRIFFITH - S - NS,,32.735206,-96.830796,,
13101,LLEWELLYN @ BROOKLYN - N - FS,,32.739395,-96.832131,,
13102,LLEWELLYN @ 12TH - N - NS,,32.741005,-96.832131,,
13103,LLEWELLYN @ JEFFERSON - N - NS,,32.742908,-96.832093,,
13104,LLEWELLYN @ 10TH - N - FS,,32.744918,-96.832085,,
13105,LLEWELLYN @ DAVIS - N - NS,,32.749351,-96.831658,,
13106,DAVIS @ ADAMS - E - NS,,32.749416,-96.830338,,
13109,BISHOP @ CANTY - N - NS,,32.752159,-96.827828,,
13110,BISHOP @ 6TH - N - NS,,32.753715,-96.827851,,
13111,BISHOP @ NECHES - N - NS,,32.756054,-96.827767,,
13112,BISHOP @ WICKFORD - N - NS,,32.757503,-96.826981,,
13113,BISHOP @ COLORADO - N - NS,,32.759075,-96.825646,,
13114,COLORADO @ BECKLEY - E - NS,,32.758915,-96.823342,,
13115,COLORADO @ ENGLEWOOD - E - NS,,32.758735,-96.821953,,
13118,MARKET @ JACKSON - N - FS,,32.778015,-96.805642,,
13120,MARSALIS @ ADDISON - S - FS,,32.759727,-96.81572,,
13123,COLORADO @ ENGLEWOOD - W - NS,,32.758747,-96.821358,,
13124,COLORADO @ BECKLEY - W - NS,,32.758907,-96.822716,,
13125,COLORADO @ BALLARD - W - MB,,32.759143,-96.82466,,
13126,BISHOP @ WICKFORD - S - NS,,32.757682,-96.826966,,
13127,BISHOP @ 5TH - S - NS,,32.754745,-96.827927,,
13128,BISHOP @ 6TH - S - NS,,32.75386,-96.827935,,
13129,BISHOP @ CANTY - S - NS,,32.752376,-96.827935,,
13130,BISHOP @ NEELY - S - NS,,32.750843,-96.82795,,
13131,BISHOP @ DAVIS - S - NS,,32.749622,-96.827965,,
13132,LLEWELLYN @ 7TH - S - NS,,32.749027,-96.831925,,
13133,LLEWELLYN @ MELBA - S - NS,,32.747333,-96.832146,,
13134,LLEWELLYN @ JEFFERSON - S - NS,,32.743366,-96.832177,,
13135,LLEWELLYN @ 12TH - S - NS,,32.74142,-96.832177,,
13136,LLEWELLYN @ BROOKLYN - S - NS,,32.739334,-96.832161,,
13137,ADAMS @ YARMOUTH - S - FS,,32.736538,-96.830811,,
13138,VERNON @ ILLINOIS - S - NS,,32.720878,-96.836861,,
13139,VERNON @ LUDLOW - N - NS,,32.723491,-96.836388,,
13140,VERNON @ FERNDALE - N - NS,,32.725792,-96.836289,,
13141,VERNON @ PIONEER - N - FS,,32.728198,-96.836747,,
13142,VERNON @ MONSSEN - N - NS,,32.730297,-96.836731,,
13144,TYLER @ NOLTE - N - NS,,32.734092,-96.837609,,
13145,TYLER @ CLARENDON - N - NS,,32.73513,-96.837494,,
13146,TYLER @ DELAWARE - N - NS,,32.73677,-96.837494,,
13147,TYLER @ PEMBROKE - N - NS,,32.738208,-96.837502,,
13148,TYLER @ PAGE - N - NS,,32.740074,-96.837555,,
13149,TYLER @ 12TH - N - NS,,32.740939,-96.837592,,
13150,TYLER @ JEFFERSON - N - NS,,32.742961,-96.837525,,
13151,TYLER @ 10TH - N - NS,,32.744853,-96.837235,,
13152,TYLER @ 9TH - N - NS,,32.746166,-96.837288,,
13153,TYLER @ 8TH - N - NS,,32.747821,-96.837342,,
13154,TYLER @ DAVIS - N - NS,,32.749179,-96.837388,,
13155,TYLER @ WINSTON - N - NS,,32.751178,-96.837403,,
13156,TYLER @ CANTY - N - FS,,32.752639,-96.837342,,
13157,TYLER @ STEWART - N - NS,,32.754764,-96.837441,,
13158,TYLER @ SALMON - N - NS,,32.756759,-96.837571,,
13159,SYLVAN @ RAINBOW - N - FS,,32.759922,-96.835862,,
13160,SYLVAN @ GREENBRIAR - N - NS,,32.761951,-96.836045,,
13161,SYLVAN @ EVERGREEN HILLS - N - NS,,32.763584,-96.836182,,
13162,SYLVAN @ KESSLER - N - NS,,32.766197,-96.836129,,
13163,SYLVAN @ IH 30 - N - FS,,32.767904,-96.835574,,
13164,COMMERCE @ LANGFORD - E - NS,,32.774247,-96.825239,,
13165,COMMERCE @ LEW STERRETT CROSSWALK - W - NS,,32.776756,-96.814362,,
13166,SYLVAN @ FT WORTH - S - FS,,32.769186,-96.835801,,
13168,SYLVAN @ EVERGREEN HILLS - S - NS,,32.764077,-96.835829,,
13169,SYLVAN @ GREENBRIAR - S - NS,,32.76223,-96.835806,,
13170,SYLVAN @ RAINBOW - S - NS,,32.760384,-96.835729,,
13171,TYLER @ COLORADO - S - FS,,32.758319,-96.836815,,
13172,TYLER @ SALMON - S - NS,,32.757198,-96.837593,,
13173,TYLER @ STEWART - S - NS,,32.755191,-96.837555,,
13174,TYLER @ EVERTS - S - NS,,32.753346,-96.837591,,
13175,POLK @ CANTY - S - FS,,32.75204,-96.837647,,
13176,POLK @ DAVIS - S - NS,,32.749694,-96.839417,,
13177,POLK @ 8TH - S - NS,,32.748256,-96.839463,,
13178,POLK @ 9TH - S - NS,,32.746574,-96.83947,,
13179,POLK @ 10TH - S - NS,,32.74525,-96.83947,,
13180,POLK @ JEFFERSON - S - NS,,32.743362,-96.839478,,
13181,POLK @ 12TH - S - NS,,32.741699,-96.839486,,
13182,POLK CUTOFF @ PAGE - S - NS,,32.740379,-96.839013,,
13183,TYLER @ PEMBROKE - S - NS,,32.738563,-96.837693,,
13184,TYLER @ BURLINGTON - S - NS,,32.73698,-96.837685,,
13185,TYLER @ CLARENDON - S - NS,,32.73545,-96.83767,,
13188,VERNON @ ELMDALE - S - NS,,32.730644,-96.836953,,
13189,VERNON @ PIONEER - S - NS,,32.72805,-96.836838,,
13190,VERNON @ FERNDALE - S - NS,,32.726314,-96.836815,,
13191,VERNON @ WILBUR - S - NS,,32.722591,-96.836853,,
13192,PINELAND @ FAIR OAKS - E - MB,,32.876041,-96.755295,,
13193,FAIR OAKS @ PHOENIX - S - NS,,32.874099,-96.756707,,
13195,RIDGECREST @ PARK - E - FS,,32.870502,-96.759537,,
13196,RIDGECREST @ EASTRIDGE - E - MB1,,32.869312,-96.75808,,
13198,RIDGECREST @ EASTRIDGE - E - MB2,,32.868225,-96.756646,,
13199,RIDGECREST @ EASTRIDGE - E - MB3,,32.86734,-96.755486,,
13201,RIDGECREST @ EASTRIDGE - E - NS,,32.866043,-96.750245,,
13203,MELODY @ HEMLOCK - W - MB1,,32.863849,-96.750817,,
13204,MELODY @ HEMLOCK - W - MB2,,32.864208,-96.752518,,
13205,MELODY @ HEMLOCK - W - MB3,,32.864467,-96.753792,,
13206,MELODY @ HEMLOCK - W - MB4,,32.864787,-96.755455,,
13207,MELODY @ HEMLOCK - W - MB5,,32.865383,-96.757103,,
13208,MELODY @ HEMLOCK - W - MB6,,32.866203,-96.758203,,
13209,MELODY @ HEMLOCK - W - NS,,32.868587,-96.761062,,
13210,MELODY @ SHADYBROOK - W - MB,,32.869647,-96.762299,,
13211,SHADY BROOK @ MELODY - S - FS,,32.869175,-96.763123,,
13212,SHADY BROOK @ BLACKWELL - S - NS,,32.866783,-96.763672,,
13216,SOUTHWESTERN @ CARUTH HAVEN - S - NS,,32.860603,-96.764855,,
13218,ROSS @ HARWOOD - S - NS,,32.787204,-96.79905,,
13222,SHADY BROOK @ BLACKWELL - N - FS,,32.866691,-96.763611,,
13223,SHADY BROOK @ MELODY - N - NS,,32.869605,-96.762932,,
13224,MELODY @ HEMLOCK - E - NS,,32.86848,-96.761073,,
13225,MELODY @ EASTRIDGE - E - MB1,,32.867157,-96.759583,,
13226,MELODY @ EASTRIDGE - E - MB2,,32.866386,-96.758568,,
13227,MELODY @ EASTRIDGE - E - MB3,,32.865558,-96.757485,,
13228,MELODY @ EASTRIDGE - E - MB4,,32.864715,-96.755524,,
13229,MELODY @ EASTRIDGE - E - MB5,,32.864437,-96.75409,,
13230,MELODY @ EASTRIDGE - E - MB6,,32.864181,-96.752724,,
13231,MELODY @ EASTRIDGE - E - MB7,,32.863964,-96.751603,,
13232,EASTRIDGE @ MELODY - N - FS,,32.864318,-96.749665,,
13233,RIDGECREST @ EASTRIDGE - W - FS,,32.866169,-96.750657,,
13234,RIDGECREST @ HEMLOCK - W - MB3,,32.867351,-96.755402,,
13236,RIDGECREST @ HEMLOCK - W - MB4,,32.86821,-96.756483,,
13238,RIDGECREST @ HEMLOCK - W - NS,,32.870185,-96.759079,,
13239,RIDGECREST @ PARK - W - NS,,32.870903,-96.759888,,
13240,FAIR OAKS @ PHOENIX - N - NS,,32.873798,-96.756913,,
13242,HATCHER @ LELAND - W - NS,,32.751911,-96.758427,,
13243,CROZIER @ CARPENTER - N - NS,,32.754379,-96.759484,,
13244,CROZIER @ PINE - N - NS,,32.755793,-96.761175,,
13245,LATIMER @ PINE - N - FS,,32.756492,-96.760981,,
13246,LATIMER @ EUGENE - N - NS,,32.757209,-96.761864,,
13247,LATIMER @ HICKMAN - N - NS,,32.75846,-96.763306,,
13248,LATIMER @ ROMINE - N - NS,,32.759315,-96.764252,,
13249,LATIMER @ METROPOLITAN - N - NS,,32.760566,-96.765526,,
13250,LATIMER @ COOPER - N - NS,,32.761947,-96.76648,,
13251,LATIMER @ LENWAY - N - NS,,32.76268,-96.767731,,
13252,LATIMER @ BIRMINGHAM - N - MB,,32.763851,-96.769143,,
13253,LATIMER @ PEABODY - N - MB,,32.765159,-96.770699,,
13254,LATIMER @ MLK - N - NS,,32.766017,-96.771737,,
13255,MLK @ EDGEWOOD - N - NS,,32.764885,-96.773217,,
13256,MLK @ HARWOOD - S - NS,,32.763595,-96.774964,,
13257,HARWOOD @ SOUTH - N - NS,,32.764217,-96.775925,,
13258,HARWOOD @ PARK ROW - N - NS,,32.765143,-96.776998,,
13259,HARWOOD @ GRAND - N - NS,,32.766059,-96.778054,,
13260,HARWOOD @ COOMBS - N - NS,,32.768009,-96.779877,,
13261,HARWOOD @ CORINTH - N - NS,,32.771247,-96.782631,,
13262,HARWOOD @ HICKORY - N - FS,,32.772838,-96.784073,,
13263,HARWOOD @ GANO - N - FS,,32.774105,-96.786499,,
13265,HARWOOD @ TAYLOR - N - NS,,32.776969,-96.790154,,
13266,HARWOOD @ YOUNG - N - NS,,32.778991,-96.792511,,
